Date / Time	City	State	Shape	Duration	Summary	Posted
11/28/12 17:45	North Smithfield	RI	Other	2 seconds	Super fast blue green object jets in sky and just disappears.	12/20/12
11/21/12 22:00	Newport	RI	Circle	1 minute	Slow moving white light with red sphere rotating tightly around it, disappears into thin air.	12/20/12
11/19/12 18:00	Providence	RI	Teardrop	4-9 minutes	Around 6 am I saw something in the sky that looked like a silver teardrop.	12/20/12
11/5/12 17:23	South Kingstown	RI	Circle	~1 second	Large Fast Moving Blue/Green Circlular Object Flying Through The Sky In North East America	11/19/12
11/5/12 9:40	Cranston	RI	Sphere	1 minute	3 spheres in Cranston, RI.	11/19/12
11/1/12 19:00	Coventry	RI	Light	15 minutes	Hope they land.	11/4/12
10/29/12 22:00	Woonsocket	RI		flash of camera	Alien? looking in a second story window. It's a strait drop beneath it, but there it is. ((NUFORC Note: We suspect an artifact. PD))	11/19/12
10/29/12 10:30	Woonsocket	RI		seconds	Unusual alien in the window - non grey.	12/20/12
10/21/12 23:57	Cranston	RI		90 seconds	Large orange ball over Rhode Island.	10/30/12
10/18/12 22:00	Rumford	RI	Light	30 minutes	On 10/18/12 at 10:30 p.m. Two bright lights were seen in the eastern sky. At first they were stationary, but then they started moving b	10/30/12
10/6/12 0:40	Cranston	RI		90 seconds	I am a retired plychologist age 64. I sit out every night till about 2pm facing the south. I saw a large round orange ball, like a pu	10/30/12
9/20/12 1:30	Warwick	RI	Light	3 minutes	I got up to let my dogs out at 1:30 AM on September 20, 2012. Standing out on my deck I noticed how clear the sky was. When I looked to	9/24/12
8/22/12 23:15	Block Island	RI	Fireball	3 minutes	Saw 5 fireballs some in V formation that went out one by one.	9/24/12
8/17/12 20:42	Warwick	RI	Circle	@30 seconds	Circular Object (Fiery?) over Warwick, RI	8/19/12
8/17/12 11:25	Warwick (6 miles north of)	RI			Object behind blimp	9/24/12
8/5/12 23:00	Coventry/Exeter	RI	Circle	3 minutes	Flickering lights in RI skies on Aug. 5, 2012.	8/19/12
8/4/12 21:00	Pawtucket	RI	Cylinder	3 minutes	Bright Red/Orange Light flying across sky weeving in and Out, Slowing down and Speeding up.	8/5/12
7/25/12 22:25	Cumberland	RI	Circle		Lights flying in the sky	8/5/12
7/10/12 22:22	Coventry	RI	Fireball	15 seconds	Orange balls, flying very fast, seen over Coventry	8/5/12
7/7/12 22:09	Newport	RI	Fireball	2 minutes	2 fireball objects changing to triangle objects pulsing orange light flying overhead at purgatory chasm in Newport.	8/5/12
7/4/12 23:00	Woonsocket	RI	Changing	5 mimutes	Heard a vibrating sound and looked out the 3rd floor window. Saw a rotating star tetrahedron. It lit up the sky like it was day. Moved	2/17/17
7/1/12 20:00	Newport	RI	Circle	10 minutes	I saw a red fire ball that I thought was a plane on fire coming down diagonally from the sky.it landed in the ocean at first beach in N	7/4/12
6/30/12 22:15	Riverside	RI	Circle	15 20 minutes	My kids were out side playing when one of them look up to the west and saw a lot of redish Orange orbs in the sky they ran the house to	7/4/12
6/28/12 3:09	Pawtucket	RI	Sphere	1 minute -5minutes	((HOAX??)) I had just finished watching a rerun of ghost hunters and i got on my laptop and as usual i go to google.	7/4/12
6/14/12 23:00	Cranston	RI	Fireball	1 minute	2 fireballs, bright white interiors, bright red flaming edges, moved SW across the sky, then disappered one at a time.	6/20/12
6/14/12 23:00	Cranston	RI	Sphere	15 minutes	Bright spheres forming huge triangle.	12/20/12
6/1/12 12:30	Greenville	RI	Other	3 seconds	there was a loud boom and a flash of light	6/5/12
5/24/12 21:00	Narragansett	RI	Circle	2 hours	8 witnesses viewed 9 ufo's in the Rhode Island sky.	9/24/12
5/19/12 21:30	Woonsocket	RI	Light	3 minutes	Large bright fire orange in color,a perfect globe of light	5/29/12
5/12/12 11:00	Riverside	RI	Circle	5 minutes	flying redish orange balls without tails flying down the street at a high rate of speed.	5/29/12
5/12/12 1:30	Kingston	RI	Light	5-6 seconds	Red star weaving back and forth across the sky	5/13/12
3/20/12 21:30	Pawtucket	RI	Light	60 seconds	An object producing a large bright orange glow could be seen in the clear night sky for about one minute. It seemed to hover over us in	5/13/12
3/18/12 20:00	Warwick	RI	Circle	10 mintues	Orange circular orbs in the sky.	5/13/12
3/18/12 19:15	Warwick	RI	Circle	3 minutes	A red circular fire that moved across the sky was seen by 5 people in RI.	5/13/12
2/27/12 22:20	Coventry	RI	Light	5/10 secs	BRIGHT WHITE LIGHT WITH A BLUE AURA MOVING EXTREMELY FAST	3/13/12
2/27/12 9:25	Coventry	RI	Fireball	seconds	Flash was so bright it hurt my eyes like a camera flash to close, it lasted seconds and it was gone, looked like a fire ball yellow and	3/13/12
2/21/12 18:45	Ashaway	RI	Unknown	about 1 minute	Four or five chevron type craft flying at night.	3/13/12
2/15/12 23:35	South Kingstown	RI	Light	5 seconds	At approximately this time, I let one of my dogs out into my large fenced and wooded backyard. The night was cold, clear, and many sta	3/13/12
2/5/12 14:00	Warwick/Coventry	RI	Other	8 minutes	Black bell kiowa sightings over 95	2/10/12
1/15/12 17:00	Smithfield	RI	Triangle	5 minutes	Triangular lighted shape in the sky around 5 pm	1/24/12
1/8/12 17:27	Westerly	RI	Fireball	5 min.	Four Reddish-orange fireballs-changed direction-disappeared.	3/13/12
12/17/11 20:00	North Scituate	RI	Light	5 min	I noticed 6 or 7 constant red/orange lights low on the horizon behind the trees.	1/12/12
11/26/11 9:00	Providence	RI	Unknown	1-2 hours	The object was extremely close to my car when driving and traveled at a high rate of speed when it was not idle.	12/12/11
11/18/11 20:00	Woonsocket	RI	Circle	5 seconds	Moved faster that a plane but, much slower than a meteor.	12/12/11
10/10/11 14:30	North Kingstown	RI	Oval	40 sec	Bright oval object in sky	10/25/11
9/17/11 20:05	West Warwick	RI	Light	@ 5 min	I saw 6 or 7 red lights slowly moving in the sky north of West Warwick, RI that were heading north	10/10/11
9/17/11 20:05	Johnston	RI	Sphere	1 minute	Orange Sphere in the night sky.	10/10/11
9/12/11 21:30	Providence	RI	Triangle	1 second	Fleeting triangular object following a meteor path	10/10/11
9/3/11 22:15	Narragansett	RI	Unknown	2 minutes	Newton Ave/ Hazard Rock area- Huge hovering object with light formations dissapeared.	10/10/11
