id,rate
01,0.02272119754
02,0.07305625871
04,0.05580667115
05,0.0321927765
06,0.03353883898
08,0.0427394778
09,0.03771894604
10,0.03098527937
12,0.03068535461
13,0.02034844333
15,0.0350003535
16,0.05578858562
17,0.02894964426
18,0.02902132698
19,0.0319648527
20,0.03212614914
21,0.03011061142
22,0.01967248411
23,0.06736869301
24,0.02311995768
25,0.02887645063
26,0.03044831441
27,0.02918503639
28,0.02047695239
29,0.0371081569
30,0.07529831562
31,0.02826257029
32,0.04374063369
33,0.06263134039
34,0.02417136221
35,0.05944214722
36,0.02286114931
37,0.02771320343
38,0.02585915731
39,0.03080665655
40,0.02959046642
41,0.07006289293
42,0.02924697755
44,0.04259645257
45,0.03424630613
46,0.03524161885
47,0.02691246113
48,0.01785906812
49,0.03637892683
50,0.07220690561
51,0.02421595928
53,0.08481064764
54,0.04287035894
55,0.03369265241
56,0.05431246061
