id,rate
01,0.02070610491
02,0.07009087552
04,0.05460916502
05,0.02898019174
06,0.0324305592
08,0.04055557711
09,0.03738341798
10,0.03046010514
11,0.01937842242
12,0.02918140837
13,0.01907787799
15,0.0350003535
16,0.05151086659
17,0.026731161
18,0.02784539789
19,0.02982748231
20,0.03064710801
21,0.0276539822
22,0.01877536757
23,0.06639233514
24,0.02253821899
25,0.02840667614
26,0.02831300424
27,0.02789879332
28,0.01974085279
29,0.03489249959
30,0.07098185167
31,0.02752847755
32,0.04346853021
33,0.0615824902
34,0.02345583623
35,0.05742390132
36,0.02233950589
37,0.02676709122
38,0.02506755045
39,0.02850778083
40,0.02722017066
41,0.06407774343
42,0.0283552537
44,0.04212315865
45,0.0331981555
46,0.0332773319
47,0.02545407637
48,0.0170694791
49,0.03408476028
50,0.07092607358
51,0.02330057938
53,0.07619374314
54,0.03746377864
55,0.03208329613
56,0.04953023137
